id,date,asset_id,lot_id,methodology_id,clean_price,accrued_interest,indexer_id,indexer_percentage,spread_over_indexer,spread_over_cdi,spread_over_inflation,cash_flow,currency_id,last_valuation_flag,created_at,updated_at,duration_years
9346107,2025-12-13 00:00:00-03,20451,1,2,83.63300475,7.02214392,1,1.00000000,0.17000000,0.03146599,,0.00000000,2,f,2026-05-01 10:51:11.253942-03,,
9346135,2025-12-14 00:00:00-03,20451,1,2,83.63300475,7.02214392,1,1.00000000,0.17000000,0.03146599,,0.00000000,2,f,2026-05-01 10:51:28.646324-03,,
9346166,2025-12-15 00:00:00-03,20451,1,2,83.63300475,7.07864246,1,1.00000000,0.17000000,0.03202023,,0.00000000,2,f,2026-05-01 10:51:45.803778-03,,
9346194,2025-12-16 00:00:00-03,20451,1,2,83.63300475,7.13517621,1,1.00000000,0.17000000,0.03112380,,0.00000000,2,f,2026-05-01 10:52:03.592749-03,,
9378219,2025-12-17 00:00:00-03,20451,1,2,83.63300475,7.19174519,1,1.00000000,0.17000000,0.02901639,,0.00000000,2,f,2026-05-01 11:13:30.581539-03,,
9410213,2025-12-18 00:00:00-03,20451,1,2,83.63300475,7.24834943,1,1.00000000,0.17000000,0.02883557,,0.00000000,2,f,2026-05-01 11:22:37.494536-03,,
9410243,2025-12-19 00:00:00-03,20451,1,2,83.63300475,7.30498895,1,1.00000000,0.17000000,0.02956008,,0.00000000,2,f,2026-05-01 11:22:56.062145-03,,
9410270,2025-12-20 00:00:00-03,20451,1,2,83.63300475,7.30498895,1,1.00000000,0.17000000,0.02956008,,0.00000000,2,f,2026-05-01 11:23:16.397897-03,,
9410302,2025-12-21 00:00:00-03,20451,1,2,83.63300475,7.30498895,1,1.00000000,0.17000000,0.02956008,,0.00000000,2,f,2026-05-01 11:23:35.290532-03,,
9410339,2025-12-22 00:00:00-03,20451,1,2,83.63300475,7.36166376,1,1.00000000,0.17000000,0.02867421,,0.00000000,2,f,2026-05-01 11:23:54.434543-03,,
9410371,2025-12-23 00:00:00-03,20451,1,2,83.63300475,7.41837390,1,1.00000000,0.17000000,0.02906339,,0.00000000,2,f,2026-05-01 11:24:13.710534-03,,
9474339,2025-12-24 00:00:00-03,20451,1,2,83.63300475,7.47511938,1,1.00000000,0.17000000,0.02906299,,0.00000000,2,f,2026-05-01 11:59:04.74985-03,,
9474366,2025-12-25 00:00:00-03,20451,1,2,83.63300475,7.47511938,1,1.00000000,0.17000000,0.02906299,,0.00000000,2,f,2026-05-01 11:59:17.882935-03,,
9474403,2025-12-26 00:00:00-03,20451,1,2,83.63300475,7.53190022,1,1.00000000,0.17000000,0.02946962,,0.00000000,2,f,2026-05-01 11:59:29.989797-03,,
9506384,2025-12-27 00:00:00-03,20451,1,2,83.63300475,7.53190022,1,1.00000000,0.17000000,0.02946962,,0.00000000,2,f,2026-05-01 12:05:25.246819-03,,
9506416,2025-12-28 00:00:00-03,20451,1,2,83.63300475,7.53190022,1,1.00000000,0.17000000,0.02946962,,0.00000000,2,f,2026-05-01 12:05:37.136748-03,,
9506453,2025-12-29 00:00:00-03,20451,1,2,83.63300475,7.58871645,1,1.00000000,0.17000000,0.02963457,,0.00000000,2,f,2026-05-01 12:05:49.447152-03,,
9506482,2025-12-30 00:00:00-03,20451,1,2,83.63300475,7.64556809,1,1.00000000,0.17000000,0.03011511,,0.00000000,2,f,2026-05-01 12:06:01.215635-03,,
9538491,2025-12-31 00:00:00-03,20451,1,2,83.63300475,7.70245516,1,1.00000000,0.17000000,0.03011491,,0.00000000,2,f,2026-05-01 12:55:10.236344-03,,
9538521,2026-01-01 00:00:00-03,20451,1,2,83.63300475,7.70245516,1,1.00000000,0.17000000,0.03011491,,0.00000000,2,f,2026-05-01 12:55:22.009859-03,,
9538555,2026-01-02 00:00:00-03,20451,1,2,83.63300475,7.75937769,1,1.00000000,0.17000000,0.03150304,,0.00000000,2,f,2026-05-01 12:55:33.921318-03,,
9538585,2026-01-03 00:00:00-03,20451,1,2,83.63300475,7.75937769,1,1.00000000,0.17000000,0.03150304,,0.00000000,2,f,2026-05-01 12:55:46.450336-03,,
9570960,2026-01-04 00:00:00-03,20451,1,2,83.63300475,7.75937769,1,1.00000000,0.17000000,0.03150304,,0.00000000,2,f,2026-05-01 13:57:13.58445-03,,
9570994,2026-01-05 00:00:00-03,20451,1,2,83.63300475,7.81633569,1,1.00000000,0.17000000,0.03101826,,0.00000000,2,f,2026-05-01 13:57:25.380529-03,,
9571026,2026-01-06 00:00:00-03,20451,1,2,83.63300475,7.87332919,1,1.00000000,0.17000000,0.03074895,,0.00000000,2,f,2026-05-01 13:57:37.206626-03,,
9604150,2026-01-07 00:00:00-03,20451,1,2,83.63300475,7.93035821,1,1.00000000,0.17000000,0.03022325,,0.00000000,2,f,2026-05-01 14:03:06.422819-03,,
9604181,2026-01-08 00:00:00-03,20451,1,2,83.63300475,7.98742277,1,1.00000000,0.17000000,0.03062935,,0.00000000,2,f,2026-05-01 14:03:18.638425-03,,
9649314,2026-01-09 00:00:00-03,20451,1,2,83.63300475,8.04452289,1,1.00000000,0.17000000,0.03042129,,0.00000000,2,f,2026-05-01 14:09:57.629651-03,,
10944806,2026-01-09 09:00:00-03,20451,1,2,79.31944930,8.04452289,1,1.00000000,0.17000000,0.03042129,,-79.31944930,2,f,2026-05-03 16:43:57.364052-03,,
10944835,2026-01-10 00:00:00-03,20451,1,2,79.31944930,8.04452289,1,1.00000000,0.17000000,0.03042129,,0.00000000,2,f,2026-05-03 16:49:09.89579-03,,
10944867,2026-01-11 00:00:00-03,20451,1,2,79.31944930,8.04452289,1,1.00000000,0.17000000,0.03042129,,0.00000000,2,f,2026-05-03 16:49:23.925829-03,,
10944900,2026-01-12 00:00:00-03,20451,1,2,79.31944930,8.09897029,1,1.00000000,0.17000000,0.03100272,,0.00000000,2,f,2026-05-03 16:49:37.783014-03,,
10944932,2026-01-13 00:00:00-03,20451,1,2,79.31944930,8.15345162,1,1.00000000,0.17000000,0.03054580,,0.00000000,2,f,2026-05-03 16:49:51.7708-03,,
11012245,2026-01-14 00:00:00-03,20451,1,2,79.31944930,8.20796690,1,1.00000000,0.17000000,0.03032204,,0.00000000,2,f,2026-05-03 17:11:59.396765-03,,
11012277,2026-01-15 00:00:00-03,20451,1,2,79.31944930,8.26251616,1,1.00000000,0.17000000,0.03006800,,0.00000000,2,f,2026-05-03 17:12:14.121293-03,,
11079554,2026-01-16 00:00:00-03,20451,1,2,79.31944930,8.31709941,1,1.00000000,0.17000000,0.02876212,,0.00000000,2,f,2026-05-03 17:34:47.825029-03,,
11146862,2026-01-17 00:00:00-03,20451,1,2,79.31944930,8.31709941,1,1.00000000,0.17000000,0.02876212,,0.00000000,2,f,2026-05-03 17:40:40.548938-03,,
11146896,2026-01-18 00:00:00-03,20451,1,2,79.31944930,8.31709941,1,1.00000000,0.17000000,0.02876212,,0.00000000,2,f,2026-05-03 17:40:54.991026-03,,
11146932,2026-01-19 00:00:00-03,20451,1,2,79.31944930,8.37171668,1,1.00000000,0.17000000,0.02895463,,0.00000000,2,f,2026-05-03 17:41:08.989613-03,,
11214221,2026-01-20 00:00:00-03,20451,1,2,79.31944930,8.42636799,1,1.00000000,0.17000000,0.02808553,,0.00000000,2,f,2026-05-03 17:47:15.893687-03,,
11281511,2026-01-21 00:00:00-03,20451,1,2,79.31944930,8.48105336,1,1.00000000,0.17000000,0.02890806,,0.00000000,2,f,2026-05-03 17:54:39.311111-03,,
11281545,2026-01-22 00:00:00-03,20451,1,2,79.31944930,8.53577281,1,1.00000000,0.17000000,0.02946992,,0.00000000,2,f,2026-05-03 17:54:53.051294-03,,
11348830,2026-01-23 00:00:00-03,20451,1,2,79.31944930,8.59052636,1,1.00000000,0.17000000,0.03001359,,0.00000000,2,f,2026-05-03 18:02:00.958642-03,,
11348864,2026-01-24 00:00:00-03,20451,1,2,79.31944930,8.59052636,1,1.00000000,0.17000000,0.03001359,,0.00000000,2,f,2026-05-03 18:02:15.610636-03,,
11348900,2026-01-25 00:00:00-03,20451,1,2,79.31944930,8.59052636,1,1.00000000,0.17000000,0.03001359,,0.00000000,2,f,2026-05-03 18:02:29.626652-03,,
11348938,2026-01-26 00:00:00-03,20451,1,2,79.31944930,8.64531404,1,1.00000000,0.17000000,0.03045937,,0.00000000,2,f,2026-05-03 18:02:43.865119-03,,
11348974,2026-01-27 00:00:00-03,20451,1,2,79.31944930,8.70013586,1,1.00000000,0.17000000,0.03203103,,0.00000000,2,f,2026-05-03 18:02:57.945034-03,,
11416315,2026-01-28 00:00:00-03,20451,1,2,79.31944930,8.75499185,1,1.00000000,0.17000000,0.03231384,,0.00000000,2,f,2026-05-03 18:08:57.9936-03,,
11483607,2026-01-29 00:00:00-03,20451,1,2,79.31944930,8.80988203,1,1.00000000,0.17000000,0.03262473,,0.00000000,2,f,2026-05-03 18:14:57.110499-03,,
11550883,2026-01-30 00:00:00-03,20451,1,2,79.31944930,8.86480642,1,1.00000000,0.17000000,0.03261587,,0.00000000,2,f,2026-05-03 18:22:38.022325-03,,
11550920,2026-01-31 00:00:00-03,20451,1,2,79.31944930,8.86480642,1,1.00000000,0.17000000,0.03261587,,0.00000000,2,f,2026-05-03 18:22:52.347404-03,,
11550960,2026-02-01 00:00:00-03,20451,1,2,79.31944930,8.86480642,1,1.00000000,0.17000000,0.03261587,,0.00000000,2,f,2026-05-03 18:23:07.286529-03,,
11551003,2026-02-02 00:00:00-03,20451,1,2,79.31944930,8.91976504,1,1.00000000,0.17000000,0.03159745,,0.00000000,2,f,2026-05-03 18:23:22.063458-03,,
11551042,2026-02-03 00:00:00-03,20451,1,2,79.31944930,8.97475791,1,1.00000000,0.17000000,0.03213435,,0.00000000,2,f,2026-05-03 18:23:36.262932-03,,
12847807,2026-02-04 00:00:00-03,20451,1,2,79.31944930,9.02978505,1,1.00000000,0.17000000,0.03140672,,0.00000000,2,f,2026-05-09 21:04:08.602656-03,,
12968568,2026-02-05 00:00:00-03,20451,1,2,79.31944930,9.08484649,1,1.00000000,0.17000000,0.03136397,,0.00000000,2,f,2026-05-09 21:22:29.734704-03,,
13105937,2026-02-06 00:00:00-03,20451,1,2,79.31944930,9.13994224,1,1.00000000,0.17000000,0.03077315,,0.00000000,2,f,2026-05-09 21:39:03.269218-03,,
13226455,2026-02-07 00:00:00-03,20451,1,2,79.31944930,9.13994224,1,1.00000000,0.17000000,0.03077315,,0.00000000,2,f,2026-05-09 21:51:52.099551-03,,
13226497,2026-02-08 00:00:00-03,20451,1,2,79.31944930,9.13994224,1,1.00000000,0.17000000,0.03077315,,0.00000000,2,f,2026-05-09 21:52:10.679465-03,,
13226541,2026-02-09 00:00:00-03,20451,1,2,79.31944930,9.19507233,1,1.00000000,0.17000000,0.03141905,,0.00000000,2,f,2026-05-09 21:52:27.97474-03,,
13226583,2026-02-10 00:00:00-03,20451,1,2,79.31944930,9.25023678,1,1.00000000,0.17000000,0.03124636,,0.00000000,2,f,2026-05-09 21:52:44.39881-03,,
13349517,2026-02-11 00:00:00-03,20451,1,2,79.31944930,9.30543561,1,1.00000000,0.17000000,0.03086474,,0.00000000,2,f,2026-05-09 22:05:55.918284-03,,
13469999,2026-02-11 09:00:00-03,20451,1,2,73.46452752,9.30543561,1,1.00000000,0.17000000,0.03086474,,-73.46452752,2,f,2026-05-09 22:13:46.360991-03,,
13470027,2026-02-12 00:00:00-03,20451,1,2,73.46452752,9.35701990,1,1.00000000,0.17000000,0.03128266,,0.00000000,2,f,2026-05-09 22:15:38.830373-03,,
