serie,date,p_Dm1_V1,p_Dm1_V2,p_D0_V1,p_D0_V2,p_D0ant_V2,juros_V1,juros_V2,dif_V1_V2,bate
CR-FGTS-04-01-SINGLE,2025-10-06,101.056423,101.05642644,98.922525,98.92252943,101.12282243,2.200293,2.200293000000002,-2.220446049250313e-15,SIM
CR-FGTS-04-01-SINGLE,2025-11-06,100.362291,100.36230465,99.160588,99.16060259,100.42824459,1.267642,1.2676420000000093,-9.325873406851315e-15,SIM
CR-FGTS-04-01-SINGLE,2025-11-14,99.486768,99.48678293,98.499851,98.49986564,99.55214764,1.052282,1.0522820000000053,-5.329070518200751e-15,SIM
CR-FGTS-04-01-SINGLE,2025-12-08,99.40975692,99.40977311,96.05790102,96.05791722,99.47508722,3.41717,3.417170000000013,-1.2878587085651816e-14,SIM
CR-FGTS-04-01-SINGLE,2026-01-09,97.39199437,97.39201078,94.712152093,94.71216851,97.45599918,2.743830667,2.7438306700000084,-3.0000082418268903e-09,SIM
CR-FGTS-04-01-SINGLE,2026-02-10,96.02755513,96.02757178,92.69301006,92.69302672,96.09066372,3.397637,3.397636999999989,1.1102230246251565e-14,SIM
CR-FGTS-04-01-SINGLE,2026-03-05,93.54927583,93.54929263,89.8650648133333,89.86508162,93.61075629,3.74567466666667,3.7456746699999997,-3.3333296123316813e-09,SIM
CR-FGTS-04-01-SINGLE,2026-04-07,91.11314942,91.11316644,87.17492849,87.17494552,91.17302952,3.998084,3.9980840000000057,-5.773159728050814e-15,SIM
CR-FGTS-04-01-SINGLE,2026-05-06,88.21166682,88.21168404,84.13278023,84.13279746,88.26964079,4.13684333,4.136843329999991,8.881784197001252e-15,SIM
CR-FGTS-04-01-SINGLE,2026-06-08,85.30125238,85.13335689,81.63338492,,,3.723912,,,N/A
CR-FGTS-05-01-SINGLE,2025-10-06,100.658963,100.65896496,98.935462,98.93546481,100.72509981,1.789635,1.789635000000004,-3.9968028886505635e-15,SIM
CR-FGTS-05-01-SINGLE,2025-11-06,100.375415,100.37542826,98.713135,98.71314883,100.44137683,1.728228,1.7282280000000014,-1.3322676295501878e-15,SIM
CR-FGTS-05-01-SINGLE,2025-11-14,99.037843,99.03785732,98.0581066,98.05812068,99.10292708,1.0448064,1.0448063999999988,1.1102230246251565e-15,SIM
CR-FGTS-05-01-SINGLE,2025-12-08,98.96393149,98.96394747,96.15347788,96.15349387,99.02896867,2.8754748,2.875474799999992,7.993605777301127e-15,SIM
CR-FGTS-05-01-SINGLE,2026-01-09,97.48889865,97.48891488,94.45470471,94.45472095,97.55296695,3.098246,3.098246000000003,-3.1086244689504383e-15,SIM
CR-FGTS-05-01-SINGLE,2026-02-10,95.76653218,95.76654865,92.44701261,92.44702909,95.82946909,3.38244,3.3824400000000026,-2.6645352591003757e-15,SIM
CR-FGTS-05-01-SINGLE,2026-03-05,93.30100595,93.30102258,90.20163649,90.20165313,93.36232313,3.16067,3.160669999999996,3.9968028886505635e-15,SIM
CR-FGTS-05-01-SINGLE,2026-04-07,91.4543955,91.4544124,88.27920318,88.27922009,91.51449969,3.2352796,3.2352795999999984,1.7763568394002505e-15,SIM
CR-FGTS-05-01-SINGLE,2026-05-06,89.32907422,89.32909136,86.02303912,86.02305627,89.38778227,3.364726,3.3647260000000045,-4.440892098500626e-15,SIM
CR-FGTS-05-01-SINGLE,2026-06-08,87.21776399,87.04609581,84.07096872,,,3.204099,,,N/A
CR-FGTS-06-01-SINGLE,2025-11-06,101.522106,101.5221155,99.845282,99.84529246,101.58881746,1.743525,1.7435250000000053,-5.329070518200751e-15,SIM
CR-FGTS-06-01-SINGLE,2025-11-14,100.173714,100.17372504,99.1611508,99.09534584,100.23954108,1.0783792,1.144195240000002,-0.06581604000000185,NAO
CR-FGTS-06-01-SINGLE,2025-12-08,100.07716546,100.01075415,95.31674286,95.25028792,100.07646312,4.8261752,4.8261751999999944,5.329070518200751e-15,SIM
CR-FGTS-06-01-SINGLE,2026-01-09,96.6405427,96.57316481,93.73596937,93.66854722,96.63661522,2.968068,2.9680680000000024,-2.220446049250313e-15,SIM
CR-FGTS-06-01-SINGLE,2026-02-10,95.03781475,94.96945621,91.9231974,91.85479395,95.03185295,3.177059,3.177059,0.0,SIM
CR-FGTS-06-01-SINGLE,2026-03-05,92.77235191,92.70331658,89.39642631,89.32734562,92.76422442,3.4368788,3.4368788000000023,-2.220446049250313e-15,SIM
CR-FGTS-06-01-SINGLE,2026-04-07,90.63800226,90.56796213,87.32333555,87.2532494,90.627467,3.3742176,3.3742175999999944,5.773159728050814e-15,SIM
CR-FGTS-06-01-SINGLE,2026-05-06,88.36183883,88.29091916,84.51988104,84.44891477,88.34892797,3.9000132,3.9000132000000036,-3.552713678800501e-15,SIM
CR-FGTS-06-01-SINGLE,2026-06-08,85.69372942,85.45323367,82.88580983,,,2.864222,,,N/A
CR-FGTS-07-01-SINGLE,2025-11-18,100.79541979,100.79541979,97.843375087,97.84337509,100.85686735,3.013492263,3.0134922600000067,2.9999931427937554e-09,SIM
CR-FGTS-07-01-SINGLE,2025-12-09,98.62164065,98.62164066,93.937430611,93.93743062,98.68176303,4.744332409,4.744332409999998,-9.999983063835316e-10,SIM
CR-FGTS-07-01-SINGLE,2026-01-13,95.20539648,95.20539649,91.96838264,91.96838265,95.26343622,3.29505357,3.2950535700000074,-7.549516567451064e-15,SIM
