id,date,asset_id,lot_id,methodology_id,clean_price,accrued_interest,indexer_id,indexer_percentage,spread_over_indexer,spread_over_cdi,spread_over_inflation,cash_flow,currency_id,last_valuation_flag,created_at,updated_at,duration_years
2009396,2025-07-22 00:00:00-03,20450,1,2,98.13878020,0.99020203,1,1.00000000,0.17000000,0.02820942,,0.00000000,2,f,2026-03-29 14:47:54.645045-03,,
2009398,2025-07-23 00:00:00-03,20450,1,2,98.13878020,1.05198167,1,1.00000000,0.17000000,0.02783685,,0.00000000,2,f,2026-03-29 14:48:04.057032-03,,
2009400,2025-07-24 00:00:00-03,20450,1,2,98.13878020,1.11379981,1,1.00000000,0.17000000,0.02702509,,0.00000000,2,f,2026-03-29 14:48:13.37495-03,,
2009402,2025-07-25 00:00:00-03,20450,1,2,98.13878020,1.17565648,1,1.00000000,0.17000000,0.02703820,,0.00000000,2,f,2026-03-29 14:48:22.802833-03,,
2009404,2025-07-26 00:00:00-03,20450,1,2,98.13878020,1.17565648,1,1.00000000,0.17000000,0.02703820,,0.00000000,2,f,2026-03-29 14:48:32.155932-03,,
2009406,2025-07-27 00:00:00-03,20450,1,2,98.13878020,1.17565648,1,1.00000000,0.17000000,0.02703820,,0.00000000,2,f,2026-03-29 14:48:41.503928-03,,
2009408,2025-07-28 00:00:00-03,20450,1,2,98.13878020,1.23755170,1,1.00000000,0.17000000,0.02702745,,0.00000000,2,f,2026-03-29 14:48:50.99878-03,,
2009410,2025-07-29 00:00:00-03,20450,1,2,98.13878020,1.29948550,1,1.00000000,0.17000000,0.02848658,,0.00000000,2,f,2026-03-29 14:49:00.34653-03,,
2009412,2025-07-30 00:00:00-03,20450,1,2,98.13878020,1.36145790,1,1.00000000,0.17000000,0.02819870,,0.00000000,2,f,2026-03-29 14:49:09.809898-03,,
2009414,2025-07-31 00:00:00-03,20450,1,2,98.13878020,1.42346892,1,1.00000000,0.17000000,0.02748851,,0.00000000,2,f,2026-03-29 14:49:19.246265-03,,
2009416,2025-08-01 00:00:00-03,20450,1,2,98.13878020,1.48551859,1,1.00000000,0.17000000,0.02820994,,0.00000000,2,f,2026-03-29 14:49:28.588324-03,,
2009418,2025-08-02 00:00:00-03,20450,1,2,98.13878020,1.48551859,1,1.00000000,0.17000000,0.02820994,,0.00000000,2,f,2026-03-29 14:49:37.953336-03,,
2009420,2025-08-03 00:00:00-03,20450,1,2,98.13878020,1.48551859,1,1.00000000,0.17000000,0.02820994,,0.00000000,2,f,2026-03-29 14:49:47.268406-03,,
2009422,2025-08-04 00:00:00-03,20450,1,2,98.13878020,1.54760693,1,1.00000000,0.17000000,0.02903001,,0.00000000,2,f,2026-03-29 14:49:56.69592-03,,
2009424,2025-08-05 00:00:00-03,20450,1,2,98.13878020,1.60973396,1,1.00000000,0.17000000,0.02839161,,0.00000000,2,f,2026-03-29 14:50:06.217411-03,,
2009426,2025-08-05 09:00:00-03,20450,1,2,95.43424951,1.60973396,1,1.00000000,0.17000000,0.02839161,,2.70453069,2,f,2026-03-29 14:52:18.644077-03,,
2664316,2025-08-06 00:00:00-03,20450,1,2,95.43424951,1.67021418,1,1.00000000,0.17000000,0.02893417,,0.00000000,2,f,2026-04-02 11:23:26.721569-03,,
