serie,date,clean_before,clean_after,clean_drop,accrued_drop,dirty_drop,cash_flow_atual,v1_interest,v1_extra,v1_total,d_clean,d_dirty,price_off_v2_minus_v1,veredito
CR-FGTS-02-01-SINGLE,2026-02-11,86.42049893,83.05628649,3.3642124399999886,0.0,3.3642124399999886,-83.05628649,0.0,3.36421244,3.36421244,-1.1546319456101628e-14,-1.1546319456101628e-14,-0.0693796500000019,OK (clean=dirty=V1)
CR-FGTS-02-01-SINGLE,2026-03-05,83.05628649,78.79580132,4.26048517000001,0.0,4.26048517000001,-78.79580132,0.0,4.26048516746411,4.26048516746411,2.535899490396787e-09,2.535899490396787e-09,-0.07003701253590577,OK (clean=dirty=V1)
CR-FGTS-02-01-SINGLE,2026-04-07,78.79580132,75.07861759,3.717183730000002,0.0,3.717183730000002,-75.07861759,0.0,3.71718373,3.71718373,2.220446049250313e-15,2.220446049250313e-15,-0.07108258000000944,OK (clean=dirty=V1)
CR-FGTS-02-01-SINGLE,2026-05-07,75.07861759,71.45832477,3.620292819999989,0.0,3.620292820000003,-71.45832477,0.0,3.62029282,3.62029282,-1.1102230246251565e-14,3.1086244689504383e-15,-0.07204663999999639,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2025-10-06,100.0,96.995593,3.0044070000000005,0.0,3.0044070000000005,-96.995593,0.0,3.004407,3.004407,4.440892098500626e-16,4.440892098500626e-16,5.270000002610686e-06,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2025-11-06,96.995593,95.510497,1.4850959999999986,0.0,1.4850959999999986,-95.510497,0.0,1.485096,1.485096,-1.3322676295501878e-15,-1.3322676295501878e-15,1.3699999996674705e-05,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2025-11-14,95.510497,94.241843,1.268653999999998,0.06481672000000005,1.333470719999994,-94.241843,0.0,1.268654,1.268654,-1.9984014443252818e-15,0.06481671999999405,-0.06480252000000064,"GLITCH_ACCRUED (clean=V1, dirty contaminado)"
CR-FGTS-03-01-SINGLE,2025-12-08,94.241843,89.940999,4.300843999999998,0.0,4.300844000000012,-89.940999,0.0,4.300844,4.300844,-1.7763568394002505e-15,1.2434497875801753e-14,-0.06544155000000274,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2026-01-09,89.940999,86.574924,3.3660750000000093,0.0,3.366074999999995,-86.574924,0.0,3.366075,3.366075,9.325873406851315e-15,-4.884981308350689e-15,-0.0663940399999916,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2026-02-10,86.574924,82.951355,3.623568999999989,0.0,3.6235690000000034,-82.951355,0.0,3.623569,3.623569,-1.0658141036401503e-14,3.552713678800501e-15,-0.06736037999999667,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2026-03-05,82.951355,79.532767,3.4185879999999997,0.0,3.4185879999999997,-79.532767,0.0,3.418588,3.418588,-4.440892098500626e-16,-4.440892098500626e-16,-0.06802728000000968,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2026-04-07,79.532767,76.346541,3.186226000000005,0.0,3.1862259999999907,-76.346541,0.0,3.186226,3.186226,4.884981308350689e-15,-9.325873406851315e-15,-0.06901738999999907,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2026-05-06,76.346541,72.116384,4.2301570000000055,0.0,4.2301570000000055,-72.116384,0.0,4.230157,4.230157,5.329070518200751e-15,5.329070518200751e-15,-0.06988407000000052,OK (clean=dirty=V1)
CR-FGTS-03-01-SINGLE,2026-06-08,,,,,,,0.0,3.482028,3.482028,,,,SO_V1 (V2 nao lancou)
CR-FGTS-04-01-SINGLE,2025-10-06,100.0,97.799707,2.200293000000002,0.0,2.200293000000002,-97.799707,0.0,2.200293,2.200293,2.220446049250313e-15,2.220446049250313e-15,4.430000004163048e-06,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2025-11-06,97.799707,96.532065,1.267641999999995,0.0,1.2676420000000093,-96.532065,0.0,1.267642,1.267642,-4.884981308350689e-15,9.325873406851315e-15,1.4589999992153935e-05,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2025-11-14,96.532065,95.479783,1.0522820000000053,0.0,1.0522820000000053,-95.479783,0.0,1.052282,1.052282,5.329070518200751e-15,5.329070518200751e-15,1.4639999989185526e-05,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2025-12-08,95.479783,92.062613,3.4171699999999987,0.0,3.417170000000013,-92.062613,0.0,3.41717,3.41717,-1.3322676295501878e-15,1.2878587085651816e-14,1.6199999990362812e-05,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2026-01-09,92.062613,89.31878233,2.743830669999994,0.0,2.7438306700000084,-89.31878233,0.0,2.743830667,2.743830667,2.999994030972175e-09,3.0000082418268903e-09,1.6416999997659332e-05,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2026-02-10,89.31878233,85.92114533,3.397637000000003,0.0,3.397636999999989,-85.92114533,0.0,3.397637,3.397637,3.1086244689504383e-15,-1.1102230246251565e-14,1.6660000000001673e-05,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2026-03-05,85.92114533,82.17547066,3.7456746699999997,0.0,3.7456746699999997,-82.17547066,0.0,3.74567466666667,3.74567466666667,3.3333296123316813e-09,3.3333296123316813e-09,1.680666669301445e-05,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2026-04-07,82.17547066,78.17738666,3.9980840000000057,0.0,3.9980840000000057,-78.17738666,0.0,3.998084,3.998084,5.773159728050814e-15,5.773159728050814e-15,1.7029999995088474e-05,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2026-05-06,78.17738666,74.04054333,4.136843329999991,0.0,4.136843329999991,-74.04054333,0.0,4.13684333,4.13684333,-8.881784197001252e-15,-8.881784197001252e-15,1.7230000011636548e-05,OK (clean=dirty=V1)
CR-FGTS-04-01-SINGLE,2026-06-08,,,,,,,0.0,3.723912,3.723912,,,,SO_V1 (V2 nao lancou)
CR-FGTS-05-01-SINGLE,2025-10-06,100.0,98.210365,1.789635000000004,0.0,1.789635000000004,-98.210365,0.0,1.789635,1.789635,3.9968028886505635e-15,3.9968028886505635e-15,2.8099999980213397e-06,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2025-11-06,98.210365,96.482137,1.7282280000000014,0.0,1.7282280000000014,-96.482137,0.0,1.728228,1.728228,1.3322676295501878e-15,1.3322676295501878e-15,1.3830000000325526e-05,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2025-11-14,96.482137,95.4373306,1.0448063999999988,0.0,1.0448063999999988,-95.4373306,0.0,1.0448064,1.0448064,-1.1102230246251565e-15,-1.1102230246251565e-15,1.4079999999694337e-05,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2025-12-08,95.4373306,92.5618558,2.875474799999992,0.0,2.875474799999992,-92.5618558,0.0,2.8754748,2.8754748,-7.993605777301127e-15,-7.993605777301127e-15,1.599000000851447e-05,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2026-01-09,92.5618558,89.4636098,3.098246000000003,0.0,3.098246000000003,-89.4636098,0.0,3.098246,3.098246,3.1086244689504383e-15,3.1086244689504383e-15,1.6239999993672427e-05,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2026-02-10,89.4636098,86.0811698,3.3824400000000026,0.0,3.3824400000000026,-86.0811698,0.0,3.38244,3.38244,2.6645352591003757e-15,2.6645352591003757e-15,1.647999999931926e-05,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2026-03-05,86.0811698,82.9204998,3.160669999999996,0.0,3.160669999999996,-82.9204998,0.0,3.16067,3.16067,-3.9968028886505635e-15,-3.9968028886505635e-15,1.6639999998346866e-05,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2026-04-07,82.9204998,79.6852202,3.2352795999999984,0.0,3.2352795999999984,-79.6852202,0.0,3.2352796,3.2352796,-1.7763568394002505e-15,-1.7763568394002505e-15,1.6909999999370484e-05,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2026-05-06,79.6852202,76.3204942,3.3647260000000045,0.0,3.3647260000000045,-76.3204942,0.0,3.364726,3.364726,4.440892098500626e-15,4.440892098500626e-15,1.7149999990806464e-05,OK (clean=dirty=V1)
CR-FGTS-05-01-SINGLE,2026-06-08,,,,,,,0.0,3.204099,3.204099,,,,SO_V1 (V2 nao lancou)
CR-FGTS-06-01-SINGLE,2025-11-06,100.0,98.256475,1.7435250000000053,0.0,1.7435250000000053,-98.256475,0.0,1.743525,1.743525,5.329070518200751e-15,5.329070518200751e-15,1.0459999998602143e-05,OK (clean=dirty=V1)
CR-FGTS-06-01-SINGLE,2025-11-14,98.256475,97.1780958,1.0783792000000005,0.06581603999999985,1.144195240000002,-97.1780958,0.0,1.0783792,1.0783792,4.440892098500626e-16,0.06581604000000185,-0.06580496000000835,"GLITCH_ACCRUED (clean=V1, dirty contaminado)"
CR-FGTS-06-01-SINGLE,2025-12-08,97.1780958,92.3519206,4.8261751999999944,0.0,4.8261751999999944,-92.3519206,0.0,4.8261752,4.8261752,-5.329070518200751e-15,-5.329070518200751e-15,-0.06645493999999985,OK (clean=dirty=V1)
CR-FGTS-06-01-SINGLE,2026-01-09,92.3519206,89.3838526,2.9680680000000024,0.0,2.9680680000000024,-89.3838526,0.0,2.968068,2.968068,2.220446049250313e-15,2.220446049250313e-15,-0.06742215000001295,OK (clean=dirty=V1)
CR-FGTS-06-01-SINGLE,2026-02-10,89.3838526,86.2067936,3.177059,0.0,3.177059,-86.2067936,0.0,3.177059,3.177059,0.0,0.0,-0.06840345000000525,OK (clean=dirty=V1)
CR-FGTS-06-01-SINGLE,2026-03-05,86.2067936,82.7699148,3.4368788000000023,0.0,3.4368788000000023,-82.7699148,0.0,3.4368788,3.4368788,2.220446049250313e-15,2.220446049250313e-15,-0.06908068999999273,OK (clean=dirty=V1)
CR-FGTS-06-01-SINGLE,2026-04-07,82.7699148,79.3956972,3.3742175999999944,0.0,3.3742175999999944,-79.3956972,0.0,3.3742176,3.3742176,-5.773159728050814e-15,-5.773159728050814e-15,-0.07008614999999452,OK (clean=dirty=V1)
CR-FGTS-06-01-SINGLE,2026-05-06,79.3956972,75.495684,3.9000132000000036,0.0,3.9000132000000036,-75.495684,0.0,3.9000132,3.9000132,3.552713678800501e-15,3.552713678800501e-15,-0.07096626999999955,OK (clean=dirty=V1)
CR-FGTS-06-01-SINGLE,2026-06-08,,,,,,,0.0,2.864222,2.864222,,,,SO_V1 (V2 nao lancou)
CR-FGTS-07-01-SINGLE,2025-11-18,100.0,96.98650774,3.0134922600000067,0.0,3.0134922600000067,-96.98650774,0.0,3.013492263,3.013492263,-2.9999931427937554e-09,-2.9999931427937554e-09,2.999996695507434e-09,OK (clean=dirty=V1)
CR-FGTS-07-01-SINGLE,2025-12-09,96.98650774,92.24217533,4.744332409999998,0.0,4.744332409999998,-92.24217533,0.0,4.744332409,4.744332409,9.999983063835316e-10,9.999983063835316e-10,9.000004297377018e-09,OK (clean=dirty=V1)
CR-FGTS-07-01-SINGLE,2026-01-13,92.24217533,88.94712176,3.295053569999993,0.0,3.2950535700000074,-88.94712176,0.0,3.29505357,3.29505357,-6.661338147750939e-15,7.549516567451064e-15,9.999993721976352e-09,OK (clean=dirty=V1)
CR-FGTS-07-01-SINGLE,2026-02-12,88.94712176,85.86524147,3.081880290000001,0.0,3.081880290000001,-85.86524147,0.0,3.08188029,3.08188029,8.881784197001252e-16,8.881784197001252e-16,1.0000007932831068e-08,OK (clean=dirty=V1)
CR-FGTS-07-01-SINGLE,2026-03-06,85.86524147,82.38661811,3.4786233600000003,0.0,3.4786233600000003,-82.38661811,0.0,3.47862336,3.47862336,4.440892098500626e-16,4.440892098500626e-16,9.999993721976352e-09,OK (clean=dirty=V1)
CR-FGTS-07-01-SINGLE,2026-04-08,82.38661811,79.16554264,3.2210754700000024,0.0,3.2210754700000024,-79.16554264,0.0,3.22107547,3.22107547,2.220446049250313e-15,2.220446049250313e-15,9.999993721976352e-09,OK (clean=dirty=V1)
CR-FGTS-07-01-SINGLE,2026-05-07,79.16554264,75.47285534,3.692687300000003,0.0,3.692687300000003,-75.47285534,0.0,3.692687299,3.692687299,1.00000274727563e-09,1.00000274727563e-09,9.000004297377018e-09,OK (clean=dirty=V1)
CR-FGTS-08-01-SENIOR,2026-03-16,,,,,,,6.03147639,0.0,13.53147639,,,,SO_V1 (V2 nao lancou)
CR-FGTS-08-01-SENIOR,2026-04-17,100.0,5.724204,94.275796,0.0,94.275796,-5.724204,1.333296,0.0,93.833296,0.44249999999999545,0.44249999999999545,13.72652623,DIVERGE (investigar)
CR-FGTS-08-02-MEZZANINE,2026-03-16,,,,,,,6.6042787,0.0,14.1042787,,,,SO_V1 (V2 nao lancou)
CR-FGTS-08-02-MEZZANINE,2026-04-17,100.0,5.599095,94.400905,0.0,94.40090500000001,-5.599095,1.458405,0.0,93.958405,0.44249999999999545,0.44250000000000966,14.326661559999994,DIVERGE (investigar)
CR-FGTS-08-03-SUBORDINATED,2026-04-23,100.0,10.0,90.0,0.0,90.0,-10.0,0.0,0.0,90.0,0.0,0.0,6.757431660000002,OK (clean=dirty=V1)
CR-FGTS-10-01-SINGLE,2025-12-08,100.0,96.75210123,3.247898770000006,0.0,3.247898769999992,-96.75210123,0.0,3.247898773,3.247898773,-2.999994030972175e-09,-3.0000082418268903e-09,1.1083000003964116e-05,OK (clean=dirty=V1)
CR-FGTS-10-01-SINGLE,2026-01-09,96.75210123,93.18285276,3.569248469999991,0.0,3.569248470000005,-93.18285276,0.0,3.569248466,3.569248466,3.999991005088077e-09,4.000005215942792e-09,1.1225999998032421e-05,OK (clean=dirty=V1)
CR-FGTS-10-01-SINGLE,2026-02-10,93.18285276,90.20211676,2.9807360000000074,0.0,2.9807360000000074,-90.20211676,0.0,2.980736,2.980736,7.549516567451064e-15,7.549516567451064e-15,1.1359999987803349e-05,OK (clean=dirty=V1)
CR-FGTS-10-01-SINGLE,2026-03-05,90.20211676,86.68239161,3.5197251499999993,0.0,3.5197251499999993,-86.68239161,0.0,3.51972515337423,3.51972515337423,-3.374230672648082e-09,-3.374230672648082e-09,1.1493374202586892e-05,OK (clean=dirty=V1)
CR-FGTS-10-01-SINGLE,2026-04-07,86.68239161,82.75024805,3.93214356,0.0,3.93214356,-82.75024805,0.0,3.93214356,3.93214356,0.0,0.0,1.1650000004692629e-05,OK (clean=dirty=V1)
CR-FGTS-10-01-SINGLE,2026-05-06,82.75024805,78.37583885,4.374409200000002,0.0,4.374409200000002,-78.37583885,0.0,4.3744092,4.3744092,2.6645352591003757e-15,2.6645352591003757e-15,1.1790000002065426e-05,OK (clean=dirty=V1)
CR-FGTS-10-01-SINGLE,2026-06-08,,,,,,,0.0,3.537675,3.537675,,,,SO_V1 (V2 nao lancou)
CR-FGTS-12-01-SINGLE,2025-12-08,100.0,96.50885333,3.4911466700000062,0.0,3.4911466700000062,-96.50885333,0.0,3.491146667,3.491146667,3.000006021380841e-09,3.000006021380841e-09,-2.999996695507434e-09,OK (clean=dirty=V1)
CR-FGTS-12-01-SINGLE,2026-01-09,96.50885333,93.11433222,3.3945211099999995,0.0,3.3945211099999995,-93.11433222,0.0,3.394521111,3.394521111,-1.0000005268295808e-09,-1.0000005268295808e-09,-9.000004297377018e-09,OK (clean=dirty=V1)
CR-FGTS-12-01-SINGLE,2026-02-11,93.11433222,89.37038889,3.7439433299999934,0.0,3.7439433299999934,-89.37038889,0.0,3.743943333,3.743943333,-3.000006465470051e-09,-3.000006465470051e-09,-6.999997026468918e-09,OK (clean=dirty=V1)
